Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Strain
SRR11597111,AMPLICON,601,151267787,PRJNA627662,SAMN14678688,Pathogen.cl,69997442,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164067,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0113,sputum,not applicable,SH0113,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0113,SRP258105,not applicable
SRR11597112,AMPLICON,601,152394953,PRJNA627662,SAMN14678687,Pathogen.cl,69640425,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164066,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0112,sputum,not applicable,SH0112,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0112,SRP258105,not applicable
SRR11597113,AMPLICON,601,106454224,PRJNA627662,SAMN14678686,Pathogen.cl,52620697,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164065,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0110,sputum,not applicable,SH0110,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0110,SRP258105,not applicable
SRR11597114,AMPLICON,601,199490862,PRJNA627662,SAMN14678685,Pathogen.cl,88587062,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164064,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0109,sputum,not applicable,SH0109,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0109,SRP258105,not applicable
SRR11597115,AMPLICON,601,179388707,PRJNA627662,SAMN14678684,Pathogen.cl,79844517,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164063,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0107,sputum,not applicable,SH0107,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0107,SRP258105,not applicable
SRR11597116,AMPLICON,601,189715393,PRJNA627662,SAMN14678683,Pathogen.cl,86347182,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164062,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0106,sputum,not applicable,SH0106,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0106,SRP258105,not applicable
SRR11597117,AMPLICON,601,96397227,PRJNA627662,SAMN14678682,Pathogen.cl,43816726,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164061,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0104,sputum,not applicable,SH0104,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0104,SRP258105,not applicable
SRR11597118,AMPLICON,601,172394545,PRJNA627662,SAMN14678681,Pathogen.cl,78480781,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164060,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0102,sputum,not applicable,SH0102,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0102,SRP258105,not applicable
SRR11597119,AMPLICON,601,96426137,PRJNA627662,SAMN14678680,Pathogen.cl,46142609,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164059,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0101,sputum,not applicable,SH0101,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0101,SRP258105,not applicable
SRR11597120,AMPLICON,601,168435249,PRJNA627662,SAMN14678679,Pathogen.cl,75144302,RUIJIN HOSPITAL AFFILIATED TO SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,"Shanghai Public Health Clinical Center\, Fudan University\, Shanghai\, China",2020-02-02,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8164058,China,Asia,China:Shanghai,COVID-19,Homo sapiens,Illumina MiSeq,SH0100,sputum,not applicable,SH0100,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2020-05-13T00:00:00Z,SH0100,SRP258105,not applicable
